Timestamp,Name,Class Section,List one topic of the class that you enjoy,What was the most challenging topic of the class?,"Overall, the learning experience for the class is",(Optional) What do you suggest to improve the class?,cleaned_List one topic of the class that you enjoy,cleaned_What was the most challenging topic of the class?,cleaned_(Optional) What do you suggest to improve the class?
10/1/2019 11:23,Student44,G4 (Tue 8:15 - 11:30 SR 3.4),Application Model,Solution Overview Model,3,,application model,solution overview model,
10/1/2019 11:23,Student51,G4 (Tue 8:15 - 11:30 SR 3.4),Application modelling,-,3,,application modelling,,
10/1/2019 11:24,Student52,G4 (Tue 8:15 - 11:30 SR 3.4),Application Model,Application Model,4,,application model,application model,
10/1/2019 11:24,Student65,G4 (Tue 8:15 - 11:30 SR 3.4),Application Model,Solution overview model,4,nil,application model,solution overview model,
10/1/2019 11:24,Student78,G4 (Tue 8:15 - 11:30 SR 3.4),It was good to understand the concept of blueprint and the models.,Solution overview model and application model was hard to know how to draw,4,nil,it was good to understand the concept of blueprint and the model,solution overview model and application model was hard to know how to draw,
10/1/2019 11:24,Student80,G4 (Tue 8:15 - 11:30 SR 3.4),Solution Overview Model,Application model,3,,solution overview model,application model,
10/1/2019 11:25,Student47,G4 (Tue 8:15 - 11:30 SR 3.4),Solutions model,NIL,4,,solution model,,
10/1/2019 11:26,Student82,G4 (Tue 8:15 - 11:30 SR 3.4),Solution overview,Teaching case spotting the error/mistake,3,,solution overview,teach case spot the error mistake,
10/1/2019 11:31,Student79,G4 (Tue 8:15 - 11:30 SR 3.4),Application and Overview Diagram,Completing class exercise,3,I understand the models taught today but I don't remember the StarMall case study and I can't remember which week it is from. So I cannot apply my knowledge for the diagrams fully.,application and overview diagram,complete class exercise,understand the model teach today but do remember the starmall case study and ca remember which week it is from so can not apply my knowledge for the diagram fully
10/1/2019 11:33,Student57,G4 (Tue 8:15 - 11:30 SR 3.4),Solution overview model,risk and cost models,3,include more trello website for group class labs ,solution overview model,risk and cost model,include more trello website for group class lab
10/1/2019 19:28,Student71,G4 (Tue 8:15 - 11:30 SR 3.4),Application Model,Application Model,3,NIL,application model,application model,
10/1/2019 1:01,Student65,G4 (Tue 8:15 - 11:30 SR 3.4),Use case activity was easy to understand,starting part of lesson featuring signavio seems hard to catch up. Maybe provide a lab document so we can follow along if we miss a step. ,4,Include step by step tutorial document for labs ,use case activity was easy to understand,start part of lesson feature signavio seem hard to catch up maybe provide lab document so we can follow along if we miss step,include step by step tutorial document for lab
10/11/2019 16:03,Student365,G8 (Thur 15:30 - 18:45 SR 3.4),Identify the bottleneck activity,nil,3,PS: Week 5,identify the bottleneck activity,,week
10/14/2019 11:28:42,Student1,G1 (Mon 8:15 - 11:30 SR 3.2),Innovations,Innovations,4,-,innovation,innovation,
10/14/2019 11:29:26,Student34,G1 (Mon 8:15 - 11:30 SR 3.2),Analysing what the company has done in terms of innovation - Class Activity,Understanding how to link the innovations to the BM,3,,analyse what the company has do in term of innovation class activity,understand how to link the innovation to the bm,
10/14/2019 11:30:27,Student13,G1 (Mon 8:15 - 11:30 SR 3.2),process innovation,business model innovation,4,,process innovation,business model innovation,
10/14/2019 11:31:44,Student29,G1 (Mon 8:15 - 11:30 SR 3.2),process innovation,business model innovation,3,,process innovation,business model innovation,
10/14/2019 11:34:24,Student3,G1 (Mon 8:15 - 11:30 SR 3.2),Innovation Business Model,Innovation Business Model,4,,innovation business model,innovation business model,
10/14/2019 11:35:07,Student36,G1 (Mon 8:15 - 11:30 SR 3.2),Business model diagram,Business model diagram,3,More time to for the presentation so we can understand the various cases,business model diagram,business model diagram,more time to for the presentation so we can understand the various case
10/14/2019 11:36:08,Student7,G1 (Mon 8:15 - 11:30 SR 3.2),Business Process Innovation,None ,3,I think the assignment in the next half of the class was a little redundant. Would be nicer to have something more interactive. ,business process innovation,,think the assignment in the next half of the class was little redundant would be nicer to have something more interactive
10/14/2019 11:36:33,Student21,G1 (Mon 8:15 - 11:30 SR 3.2),How we can make changes to business models to innovate and remain competitive in the market. I think the usage of case studies was interesting to facilitate our understanding. ,Nil,4,,how we can make change to business model to innovate and remain competitive in the market think the usage of case study was interest to facilitate our understand,,
10/14/2019 11:36:58,Student2,G1 (Mon 8:15 - 11:30 SR 3.2),Coming up with the business model for the case study,Differentiating between product innovation and process innovation,4,nil,come up with the business model for the case study,differentiate between product innovation and process innovation,
10/14/2019 11:37:30,Student17,G1 (Mon 8:15 - 11:30 SR 3.2),The topic i enjoyed will be the Business Model Canvas discussed in class as it help individual to think of the company and segment it in different part,The most challenging topic will be difference between Process & Business Model Innovation,3,Nil,the topic enjoy will be the business model canvas discuss in class as it help individual to think of the company and segment it in different part,the most challenging topic will be difference between process and business model innovation,
10/14/2019 11:37:58,Student38,G1 (Mon 8:15 - 11:30 SR 3.2),Coming up with business model,Differentiating between product innovation and process innovation,3,NIL,come up with business model,differentiate between product innovation and process innovation,
10/14/2019 11:38:14,Student39,G1 (Mon 8:15 - 11:30 SR 3.2),Business model,Differentiating product and process innovation,3,,business model,differentiate product and process innovation,
10/14/2019 11:40:09,Student22,G1 (Mon 8:15 - 11:30 SR 3.2),Gassmann Magic Triangle,I had trouble trying to determine the correct customer segment for the Innovation Case.,3,Allocate more time if the class activity requires presentations.,gassmann magic triangle,had trouble try to determine the correct customer segment for the innovation case,allocate more time if the class activity require presentation
10/14/2019 11:40:10,Student8,G1 (Mon 8:15 - 11:30 SR 3.2),Innovation Case,Factors affecting Product Innovation,4,,innovation case,factor affect product innovation,
10/14/2019 11:42:29,Student7,G1 (Mon 8:15 - 11:30 SR 3.2),Business Process Innovation,None ,3,I think the assignment in the next half of the class was a little redundant. Would be nicer to have something more interactive. ,business process innovation,,think the assignment in the next half of the class was little redundant would be nicer to have something more interactive
10/14/2019 11:42:33,Student18,G1 (Mon 8:15 - 11:30 SR 3.2),Doing the case study analysis ,Knowing where to put each element in different section of business model ,3,nil,doing the case study analysis,know where to put each element in different section of business model,
10/14/2019 11:42:39,Student14,G1 (Mon 8:15 - 11:30 SR 3.2),Business Model,Identifying the types of innovations,4,,business model,identify the type of innovation,
10/14/2019 11:43:30,Student26,G1 (Mon 8:15 - 11:30 SR 3.2),Gassmann Magic Triangle,Differentiating between value proposition etc,3,Give more examples :),gassmann magic triangle,differentiate between value proposition etc,give more example
10/14/2019 11:43:41,Student35,G1 (Mon 8:15 - 11:30 SR 3.2),Gassmann Magic Triangle,Business Model Canvas,3,More examples.,gassmann magic triangle,business model canvas,more example
10/14/2019 11:43:41,Student23,G1 (Mon 8:15 - 11:30 SR 3.2),Listing the innnovation case and doing activities in class,realising that value proposition is for customers ,4,nil,list the innovation case and doing activity in class,realise that value proposition is for customer,
10/14/2019 11:44:21,Student30,G1 (Mon 8:15 - 11:30 SR 3.2),Business Innovation,Identifying the values to fill up innovation case,3,,business innovation,identify the value to fill up innovation case,
10/14/2019 11:44:42,Student40,G1 (Mon 8:15 - 11:30 SR 3.2),Case studies.,How to fill up the innovation case template.,3,NIL,case study,how to fill up the innovation case template,
10/14/2019 11:46:04,Student31,G1 (Mon 8:15 - 11:30 SR 3.2),innovation platform,business model innovation,3,,innovation platform,business model innovation,
10/14/2019 11:46:36,Student33,G1 (Mon 8:15 - 11:30 SR 3.2),Process Model innovation,Business Model innovation,3,can give more examples or case studies,process model innovation,business model innovation,can give more example or case study
10/14/2019 12:32:23,Student28,G1 (Mon 8:15 - 11:30 SR 3.2),Product innovation,Business Model innovation where there are more than processes,4,,product innovation,business model innovation where there are more than process,
10/14/2019 14:02:50,Student11,G1 (Mon 8:15 - 11:30 SR 3.2),Process Innovation,PLM tools,3,nil,process innovation,plm tool,
10/14/2019 15:48:30,Student20,G1 (Mon 8:15 - 11:30 SR 3.2),Business Model Innovation,Identifying cultural impact for case study,3,Presentation time was limited,business model innovation,identify cultural impact for case study,presentation time was limit
10/14/2019 17:27:55,Student27,G1 (Mon 8:15 - 11:30 SR 3.2),One topic that i enjoyed most will be business model canvas ,"The most challenging topic would be to come up with the innovation Case template as the Who, What, How, Value is a bit confusing at times",3,NIL,one topic that enjoy most will be business model canvas,the most challenging topic would be to come up with the innovation case template as the who what how value is bit confuse at time,
10/14/2019 19:06:28,Student32,G1 (Mon 8:15 - 11:30 SR 3.2),The presentation as it provided insightful analysis on how to apply the framework,The application of gassmann magic triangle ,4,,the presentation as it provide insightful analysis on how to apply the framework,the application of gassmann magic triangle,
10/15/2019 11:28:09,Student81,G4 (Tue 8:15 - 11:30 SR 3.4),Process Innovation,Business Model Innovation Challenges,3,,process innovation,business model innovation challenge,
10/15/2019 11:28:25,Student48,G4 (Tue 8:15 - 11:30 SR 3.4),Learning about the difference between radical and incremental improvement to a business model,"Understanding how to properly categorize the business innovation type (product, process, business model)",4,NIL,learn about the difference between radical and incremental improvement to business model,understand how to properly categorize the business innovation type product process business model,
10/15/2019 11:28:38,Student53,G4 (Tue 8:15 - 11:30 SR 3.4),The case presentation,Coming up with the content for the presentation,4,,the case presentation,come up with the content for the presentation,
10/15/2019 11:28:40,Student46,G4 (Tue 8:15 - 11:30 SR 3.4),Business Model Innovation,Business Model Innovation,4,,business model innovation,business model innovation,
10/15/2019 11:28:50,Student52,G4 (Tue 8:15 - 11:30 SR 3.4),Business Innovation,Business Model,4,,business innovation,business model,
10/15/2019 11:28:56,Student64,G4 (Tue 8:15 - 11:30 SR 3.4),Innovation,-,2,-,innovation,,
10/15/2019 11:29:02,Student68,G4 (Tue 8:15 - 11:30 SR 3.4),Business model innovation,Think of the innovation challenges ,4,,business model innovation,think of the innovation challenge,
10/15/2019 11:29:06,Student80,G4 (Tue 8:15 - 11:30 SR 3.4),Product Innovation,Case study,3,,product innovation,case study,
10/15/2019 11:29:30,Student66,G4 (Tue 8:15 - 11:30 SR 3.4),Innovation,Case study,3,,innovation,case study,
10/15/2019 11:29:31,Student83,G4 (Tue 8:15 - 11:30 SR 3.4),Process innovation,gassmann magic triangle,3,,process innovation,gassmann magic triangle,
10/15/2019 11:29:33,Student47,G4 (Tue 8:15 - 11:30 SR 3.4),Business Innovations,NIL,4,NIl,business innovation,,
10/15/2019 11:29:34,Student56,G4 (Tue 8:15 - 11:30 SR 3.4),Product innovation,business model innvoation,3,,product innovation,business model innvoation,
10/15/2019 11:29:35,Student72,G4 (Tue 8:15 - 11:30 SR 3.4),Innovation,Case study,3,,innovation,case study,
10/15/2019 11:29:37,Student55,G4 (Tue 8:15 - 11:30 SR 3.4),Business Model Canvas,Coming out with the value proposition,4,,business model canvas,come out with the value proposition,
10/15/2019 11:29:41,Student71,G4 (Tue 8:15 - 11:30 SR 3.4),Explore Business Innovation,Business Innovation Cases,4,NIL ,explore business innovation,business innovation case,
10/15/2019 11:29:43,Student44,G4 (Tue 8:15 - 11:30 SR 3.4),Product innovation,-,4,Have more interesting case studies like the one we had today,product innovation,,have more interesting case study like the one we had today
10/15/2019 11:29:57,Student54,G4 (Tue 8:15 - 11:30 SR 3.4),Magic triangle ,Business model innovation,3,,magic triangle,business model innovation,
10/15/2019 11:30:03,Student61,G4 (Tue 8:15 - 11:30 SR 3.4),Business innovation,Business model,4,would prefer not to combine the groups into group-pairs,business innovation,business model,would prefer not to combine the group into group pair
10/15/2019 11:30:08,Student75,G4 (Tue 8:15 - 11:30 SR 3.4),Gassman,-NIL-,4,-NIL-,gassman,,
10/15/2019 11:30:11,Student51,G4 (Tue 8:15 - 11:30 SR 3.4),final case business presentation,understanding merging from business model canvas to gassman triangle,3,,final case business presentation,understand merge from business model canvas to gassman triangle,
10/15/2019 11:30:17,Student70,G4 (Tue 8:15 - 11:30 SR 3.4),business model,business model,4,nil,business model,business model,
10/15/2019 11:30:20,Student45,G4 (Tue 8:15 - 11:30 SR 3.4),the case (amazon-go) ,Business model canvas,4,Have a general debrief/summary of all the cases,the case amazon go,business model canvas,have general debrief summary of all the case
10/15/2019 11:30:33,Student368,G4 (Tue 8:15 - 11:30 SR 3.4),iPod and Nescafe Case Studies,Presenting in such a short amount of time!,4,,ipod and nescafe case study,present in such short amount of time,
10/15/2019 11:30:34,Student60,G4 (Tue 8:15 - 11:30 SR 3.4),I enjoyed learning about the Gassmann Magic Triangle,Aligning to business model,3,,enjoy learn about the gassmann magic triangle,align to business model,
10/15/2019 11:30:36,Student77,G4 (Tue 8:15 - 11:30 SR 3.4),Process innovation,Business model canvas,4,,process innovation,business model canvas,
10/15/2019 11:30:39,Student57,G4 (Tue 8:15 - 11:30 SR 3.4),Business Model Innovation,Business model innovation,3,nil,business model innovation,business model innovation,
10/15/2019 11:30:40,Student125,G4 (Tue 8:15 - 11:30 SR 3.4),Process Innovation,Process Improvement vs Process Innovation,3,,process innovation,process improvement process innovation,
10/15/2019 11:30:40,Student62,G4 (Tue 8:15 - 11:30 SR 3.4),Case presentation,Case presentation,3,,case presentation,case presentation,
10/15/2019 11:30:46,Student49,G4 (Tue 8:15 - 11:30 SR 3.4),biz model canvas,business model innovation,3,,biz model canvas,business model innovation,
10/15/2019 11:31:04,Student58,G4 (Tue 8:15 - 11:30 SR 3.4),Gassman Magic Triangle,Innovation Business Model,4,-,gassman magic triangle,innovation business model,
10/15/2019 11:31:09,Student82,G4 (Tue 8:15 - 11:30 SR 3.4),Gassmann Magic Triangle,Identifying the components in Gassmann Magic Triangle,4,,gassmann magic triangle,identify the component in gassmann magic triangle,
10/15/2019 11:31:40,Student69,G4 (Tue 8:15 - 11:30 SR 3.4),Business Model Canvas,Business Model Canvas,4,Perhaps we can allowed to prepare a bit for the presentation to be less nervous during the presentation!,business model canvas,business model canvas,perhaps we can allow to prepare bit for the presentation to be less nervous during the presentation
10/15/2019 11:31:44,Student59,G4 (Tue 8:15 - 11:30 SR 3.4),The Presentation ,,4,,the presentation,,
10/15/2019 11:32:00,Student63,G4 (Tue 8:15 - 11:30 SR 3.4),Innovation case,Case study,3,"More examples for each template/model (for our own reading).
Clearer instructions for class activity",innovation case,case study,more example for each template model for our own reading clearer instruction for class activity
10/15/2019 11:32:09,Student50,G4 (Tue 8:15 - 11:30 SR 3.4),Business Model Innovation,Business Model Innovation,4,More real life case studies =) ,business model innovation,business model innovation,more real life case study
10/15/2019 11:32:34,Student78,G4 (Tue 8:15 - 11:30 SR 3.4),Reading of the case studies were very relatable to our daily lives -business model canvas and the innovation case was interesting as well.,Coming up with the data for the innovation case was abit difficult. The presentation was challenging cause it had to be done within a very limited period of time.,3,Give us more time to understand the different concepts learnt ,reading of the case study were very relatable to our daily live business model canvas and the innovation case was interest as well,come up with the data for the innovation case was bit difficult the presentation was challenge cause it had to be do within very limited period of time,give us more time to understand the different concept learn
10/16/2019 12:24:25,Student65,G4 (Tue 8:15 - 11:30 SR 3.4),Innovation for businesses,None,4,nil,innovation for business,,
10/16/2019 15:10:38,Student124,G5 (Wed 12:00 - 15:15 SR 3.3),Learning from the Kodak and Fujifilm case study,Knowing what to place in the Gassmann triangle table template,3,,learn from the kodak and fujifilm case study,know what to place in the gassmann triangle table template,
10/16/2019 15:10:39,Student122,G5 (Wed 12:00 - 15:15 SR 3.3),Creativity vs Invention vs Innovation,differentiating between the different types of innovation due to possible overlaps,4,,creativity invention innovation,differentiate between the different type of innovation due to possible overlap,
10/16/2019 15:10:43,Student92,G5 (Wed 12:00 - 15:15 SR 3.3),innovation,figuring the old and new,4,,innovation,figure the old and new,
10/16/2019 15:10:48,Student84,G5 (Wed 12:00 - 15:15 SR 3.3),The case studies about innovation,The Gassmann Magic Triangle ,3,,the case study about innovation,the gassmann magic triangle,
10/16/2019 15:10:59,Student114,G5 (Wed 12:00 - 15:15 SR 3.3),Business model ,Business model ,3,,business model,business model,
10/16/2019 15:11:23,Student116,G5 (Wed 12:00 - 15:15 SR 3.3),The use of multiple case studies to illustrate what the topics being taught,NIL,4,NIL,the use of multiple case study to illustrate what the topic being taught,,
10/16/2019 15:11:23,Student90,G5 (Wed 12:00 - 15:15 SR 3.3),BUSINESS MODEL CANVAS,"TYPES OF INNOVATION, BECAUSE idk how to differentiate sometimes ",3,,business model canvas,type of innovation because idk how to differentiate sometimes,
10/16/2019 15:11:23,Student104,G5 (Wed 12:00 - 15:15 SR 3.3),the innovation challenge and presentation,business model canva,4,,the innovation challenge and presentation,business model canva,
10/16/2019 15:11:25,Student99,G5 (Wed 12:00 - 15:15 SR 3.3),Product Innovation,Business Model innovation,4,,product innovation,business model innovation,
10/16/2019 15:11:27,Student91,G5 (Wed 12:00 - 15:15 SR 3.3),Business Model Innovation,Business Model Innovation and what goes into it,3,,business model innovation,business model innovation and what go into it,
10/16/2019 15:11:31,Student86,G5 (Wed 12:00 - 15:15 SR 3.3),Business model innovation,nil,4,,business model innovation,,
10/16/2019 15:11:32,Student109,G5 (Wed 12:00 - 15:15 SR 3.3),Business innovation,Business innovation,4,Allow the student flexibility to add more slides (just 1~2 more),business innovation,business innovation,allow the student flexibility to add more slide just more
10/16/2019 15:11:33,Student108,G5 (Wed 12:00 - 15:15 SR 3.3),Learning about the different types of innovation ,making a presentation about innovation in a very short timespan,4,-nil-,learn about the different type of innovation,make presentation about innovation in very short timespan,
10/16/2019 15:11:36,Student87,G5 (Wed 12:00 - 15:15 SR 3.3),Product Innovation,Business Model Innovation,4,,product innovation,business model innovation,
10/16/2019 15:11:37,Student96,G5 (Wed 12:00 - 15:15 SR 3.3),the role of innovation in business survival - kodak case study,nil,4,,the role of innovation in business survival kodak case study,,
10/16/2019 15:11:37,Student89,G5 (Wed 12:00 - 15:15 SR 3.3),The case presentations were engaging,Trying to apply the gassmann triangle to the in class exercise,3,,the case presentation were engage,try to apply the gassmann triangle to the in class exercise,
10/16/2019 15:11:47,Student103,G5 (Wed 12:00 - 15:15 SR 3.3),Business model innovation,The innovation cases ,4,-,business model innovation,the innovation case,
10/16/2019 15:12:00,Student113,G5 (Wed 12:00 - 15:15 SR 3.3),Process Innovation,Gassmann Magic Triangle,4,,process innovation,gassmann magic triangle,
10/16/2019 15:12:00,Student93,G5 (Wed 12:00 - 15:15 SR 3.3),"The application of the concepts to interesting real life case studies, overall the class was enjoyable",Filling up of the old vs new table for business innovation in a concise manner,4,"Today's class was great as there was a lot of not-too-complicated activities and the content is much less dry and more practical, liked the class",the application of the concept to interest real life case study overall the class was enjoyable,fill up of the old vs new table for business innovation in concise manner,today class was great as there was lot of not too complicated activity and the content is much less dry and more practical like the class
10/16/2019 15:12:05,Student107,G5 (Wed 12:00 - 15:15 SR 3.3),Doing the in-class case study and practicing business process innovation.,Innovating off the business model canvas,4,Perhaps a brief feedback on the presentation,doing the in class case study and practice business process innovation,innovate off the business model canvas,perhaps brief feedback on the presentation
10/16/2019 15:12:05,Student119,G5 (Wed 12:00 - 15:15 SR 3.3),Case Study of Amazon Go ; Combined Informal Presentation,Determine the Process Innovation Levels,4,,case study of amazon go combine informal presentation,determine the process innovation level,
10/16/2019 15:12:08,Student88,G5 (Wed 12:00 - 15:15 SR 3.3),Innovation Case,Business Model Canvas,3,,innovation case,business model canvas,
10/16/2019 15:12:11,Student101,G5 (Wed 12:00 - 15:15 SR 3.3),Business Innovation model,Understanding what type of innovation the innovation is,4,,business innovation model,understand what type of innovation the innovation is,
10/16/2019 15:12:11,Student118,G5 (Wed 12:00 - 15:15 SR 3.3),Presenting our case findings,Value proposition vs revenue stream,3,"More cold calling random students, and getting students to speak up :)",present our case finding,value proposition revenue stream,more cold call random student and get student to speak up
10/16/2019 15:12:21,Student123,G5 (Wed 12:00 - 15:15 SR 3.3),Business Innovation Case Study,Product Innovation,4,More case studies,business innovation case study,product innovation,more case study
10/16/2019 15:12:22,Student94,G5 (Wed 12:00 - 15:15 SR 3.3),learning the interesting case studies,producing the magic triangle,3,,learn the interesting case study,produce the magic triangle,
10/16/2019 15:12:26,Student85,G5 (Wed 12:00 - 15:15 SR 3.3), innovation type analysis,business model innovation,4,,innovation type analysis,business model innovation,
10/16/2019 15:12:28,Student95,G5 (Wed 12:00 - 15:15 SR 3.3),"business process innovation, product innovation ",division into different categories under business model ,3,,business process innovation product innovation,division into different category under business model,
10/16/2019 15:12:30,Student100,G5 (Wed 12:00 - 15:15 SR 3.3),Success factors of innovative companies,Business Model Canvas,3,,success factor of innovative company,business model canvas,
10/16/2019 15:12:31,Student110,G5 (Wed 12:00 - 15:15 SR 3.3),business innovation,doing the triangle,3,,business innovation,doing the triangle,
10/16/2019 15:12:33,Student112,G5 (Wed 12:00 - 15:15 SR 3.3),Business Model Canvas ,Business Model Innovation,2,"More in class explaining of concepts, less self-studying",business model canvas,business model innovation,more in class explaining of concept less self study
10/16/2019 15:12:43,Student105,G5 (Wed 12:00 - 15:15 SR 3.3),Product Innovation,Business Model Canvas,3,,product innovation,business model canvas,
10/16/2019 15:13:10,Student115,G5 (Wed 12:00 - 15:15 SR 3.3),Case Study and presentation,Gassmann Triangle. Still not too sure how to use and apply the concepts in the triangle. How are they mapped to a conventional standard of innovation?,3,,case study and presentation,gassmann triangle still not too sure how to use and apply the concept in the triangle how are they map to conventional standard of innovation,
10/16/2019 15:13:20,Student369,G5 (Wed 12:00 - 15:15 SR 3.3),Gassmann Magic triangle,"Business Model Canvas, it may be difficult to populate the different segments at time",3,,gassmann magic triangle,business model canvas it may be difficult to populate the different segment at time,
10/16/2019 15:13:36,Student260,G5 (Wed 12:00 - 15:15 SR 3.3),One part of the class I enjoy is the case study presentations as we are exposed to a wide range of real-world examples and we can see the connection between the theories we learn in BPAS lessons and how they are applicable to the rela-world business context,The most challenging topic was the innovation case as the requirements for the different columns was not very clear,3,,one part of the class enjoy is the case study presentation as we are expose to wide range of real world example and we can see the connection between the theory we learn in bpas lesson and how they are applicable to the rela world business context,the most challenging topic was the innovation case as the requirement for the different column was not very clear,
10/16/2019 15:13:36,Student97,G5 (Wed 12:00 - 15:15 SR 3.3),Business Model Innovation,None,4,,business model innovation,,
10/16/2019 15:14:11,Student120,G5 (Wed 12:00 - 15:15 SR 3.3),innovation is important to stay relevant in the market,coming up with the innovations as it requires us to be creative and align with the business model,3,-,innovation is important to stay relevant in the market,come up with the innovation as it require us to be creative and align with the business model,
10/16/2019 15:14:15,Student98,G5 (Wed 12:00 - 15:15 SR 3.3),Presentation - Innovation Challenges! ,Gassmann Magic Triangle,4,More of such discussion topics,presentation innovation challenge,gassmann magic triangle,more of such discussion topic
10/16/2019 18:24:05,Student143,G7 (Wed 15:30 - 18:45 SR 3.3),Learning about drawing the business model,Understanding and coming up with innovations,3,,learn about draw the business model,understanding and come up with innovation,
10/16/2019 18:26:17,Student142,G7 (Wed 15:30 - 18:45 SR 3.3),"How there are different types of innovation (Product, process, business model). I enjoy how different innovations in different sections affect the company.",Understanding the impact of the innovation of a certain company and why they need to innovate to stay relevant in the industry.,4,Nil,how there are different type of innovation product process business model enjoy how different innovation in different section affect the company,understand the impact of the innovation of certain company and why they need to innovate to stay relevant in the industry,
10/16/2019 18:28:43,Student160,G7 (Wed 15:30 - 18:45 SR 3.3),Discussing the case study and presenting the case study (Business Innovation),NIL! Today's class was ok!,3,NIL,discuss the case study and present the case study business innovation,today class was ok,
10/16/2019 18:29:11,Student151,G7 (Wed 15:30 - 18:45 SR 3.3),Business Model,"Innovation challenges faced by Amazon GO, but that's because we read up more about Amazon go",4,,business model,innovation challenge face by amazon go but that because we read up more about amazon go,
10/16/2019 18:33:47,Student128,G7 (Wed 15:30 - 18:45 SR 3.3),Gassmann Magic Triangle,Gassmann Magic Triangle,4,,gassmann magic triangle,gassmann magic triangle,
10/16/2019 18:35:07,Student159,G7 (Wed 15:30 - 18:45 SR 3.3),Business Model Innovation,Process Improvement Vs Process Innovation,3,,business model innovation,process improvement process innovation,
10/16/2019 18:35:54,Student137,G7 (Wed 15:30 - 18:45 SR 3.3),Presentation,NIL,4,,presentation,,
